"Drug1"	"Drug2"
"DB00388"	"DB00298"
"DB00388"	"DB00388"
"DB00388"	"DB00706"
"DB00388"	"DB00723"
"DB00388"	"DB06207"
"DB00389"	"DB00389"
"DB00389"	"DB00550"
"DB00389"	"DB00763"
"DB00389"	"DB11085"
"DB00389"	"DB11496"
"DB00390"	"DB00390"
"DB00390"	"DB00511"
"DB00390"	"DB01078"
"DB00390"	"DB01158"
"DB00390"	"DB01188"
"DB00390"	"DB01345"
"DB00390"	"DB01378"
"DB00390"	"DB01396"
"DB00390"	"DB01430"
"DB00390"	"DB13996"
"DB00390"	"DB14498"
"DB00390"	"DB14499"
"DB00391"	"DB00391"
"DB00392"	"DB00392"
"DB00393"	"DB00393"
"DB00394"	"DB00180"
"DB00394"	"DB00223"
"DB00394"	"DB00240"
"DB00394"	"DB00253"
"DB00394"	"DB00324"
"DB00394"	"DB00394"
"DB00394"	"DB00443"
"DB00394"	"DB00547"
"DB00394"	"DB00596"
"DB00394"	"DB00620"
"DB00394"	"DB00663"
"DB00394"	"DB00769"
"DB00394"	"DB00838"
"DB00394"	"DB00846"
"DB00394"	"DB00860"
"DB00394"	"DB14596"
"DB00394"	"DB00896"
"DB00394"	"DB00959"
"DB00394"	"DB01013"
"DB00394"	"DB01130"
"DB00394"	"DB01222"
"DB00394"	"DB01260"
"DB00394"	"DB01380"
"DB00394"	"DB01410"
"DB00394"	"DB06781"
"DB00394"	"DB11921"
"DB00394"	"DB13158"
"DB00395"	"DB00395"
"DB00396"	"DB00396"
"DB00397"	"DB00397"
"DB00398"	"DB00398"
"DB00399"	"DB00399"
"DB00400"	"DB00400"
"DB00401"	"DB00401"
"DB00402"	"DB00402"
"DB00402"	"DB13872"
"DB00403"	"DB00403"
"DB00404"	"DB00404"
"DB00405"	"DB00283"
"DB00405"	"DB00341"
"DB00405"	"DB00405"
"DB00405"	"DB00427"
"DB00405"	"DB00557"
"DB00405"	"DB00719"
"DB00405"	"DB00737"
"DB00405"	"DB00748"
"DB00405"	"DB00792"
"DB00405"	"DB00902"
"DB00405"	"DB00950"
"DB00405"	"DB00967"
"DB00405"	"DB00972"
"DB00405"	"DB00985"
"DB00405"	"DB01084"
"DB00405"	"DB01237"
"DB00405"	"DB01246"
"DB00405"	"DB01619"
"DB00405"	"DB01620"
"DB00405"	"DB04837"
"DB00405"	"DB04890"
"DB00405"	"DB06282"
"DB00405"	"DB06691"
"DB00405"	"DB06766"
"DB00405"	"DB08799"
"DB00405"	"DB08936"
"DB00405"	"DB09488"
"DB00405"	"DB09555"
"DB00405"	"DB11591"
"DB00407"	"DB00407"
"DB00407"	"DB06271"
"DB00408"	"DB00408"
"DB00409"	"DB00409"
"DB00411"	"DB00411"
"DB00412"	"DB00412"
"DB00413"	"DB00413"
"DB00414"	"DB00414"
"DB00415"	"DB00415"
"DB00416"	"DB00416"
"DB00416"	"DB00565"
"DB00416"	"DB00732"
"DB00416"	"DB01339"
"DB00417"	"DB00417"
"DB00418"	"DB00418"
"DB00419"	"DB00419"
"DB00419"	"DB09039"
"DB00420"	"DB00420"
"DB00420"	"DB00777"
"DB00421"	"DB00421"
"DB00422"	"DB00422"
"DB00423"	"DB00423"
"DB00424"	"DB00387"
"DB00424"	"DB00424"
"DB00424"	"DB00809"
"DB00424"	"DB01019"
"DB00424"	"DB01085"
"DB00424"	"DB06787"
"DB00425"	"DB00425"
"DB00427"	"DB00283"
"DB00427"	"DB00341"
"DB00427"	"DB00405"
"DB00427"	"DB00427"
"DB00427"	"DB00557"
"DB00427"	"DB00719"
"DB00427"	"DB00737"
"DB00427"	"DB00748"
"DB00427"	"DB00792"
"DB00427"	"DB00902"
"DB00427"	"DB00950"
"DB00427"	"DB00967"
"DB00427"	"DB00972"
"DB00427"	"DB00985"
"DB00427"	"DB01084"
"DB00427"	"DB01237"
"DB00427"	"DB01246"
"DB00427"	"DB01619"
"DB00427"	"DB01620"
"DB00427"	"DB04837"
"DB00427"	"DB04890"
"DB00427"	"DB06282"
"DB00427"	"DB06691"
"DB00427"	"DB06766"
"DB00427"	"DB08799"
"DB00427"	"DB08936"
"DB00427"	"DB09488"
"DB00427"	"DB09555"
"DB00427"	"DB11591"
"DB00428"	"DB00428"
"DB00431"	"DB00431"
"DB00432"	"DB00322"
"DB00432"	"DB00432"
"DB00432"	"DB00544"
"DB00432"	"DB01101"
"DB00432"	"DB09256"
"DB00433"	"DB00433"
"DB00434"	"DB00434"
"DB00435"	"DB00435"
"DB00436"	"DB00436"
"DB00437"	"DB00437"
"DB00437"	"DB04854"
"DB00439"	"DB00175"
"DB00439"	"DB00439"
"DB00439"	"DB01095"
"DB00439"	"DB01098"
"DB00439"	"DB08860"
"DB00440"	"DB00440"
"DB00440"	"DB06813"
"DB00441"	"DB00441"
"DB00443"	"DB00180"
"DB00443"	"DB00223"
"DB00443"	"DB00240"
"DB00443"	"DB00253"
"DB00443"	"DB00324"
"DB00443"	"DB00394"
"DB00443"	"DB00443"
"DB00443"	"DB00547"
"DB00443"	"DB00596"
"DB00443"	"DB00620"
"DB00443"	"DB00663"
"DB00443"	"DB00769"
"DB00443"	"DB00838"
"DB00443"	"DB00846"
"DB00443"	"DB00860"
"DB00443"	"DB14596"
"DB00443"	"DB00896"
"DB00443"	"DB00959"
"DB00443"	"DB01013"
"DB00443"	"DB01130"
"DB00443"	"DB01222"
"DB00443"	"DB01260"
"DB00443"	"DB01380"
"DB00443"	"DB01410"
"DB00443"	"DB06781"
"DB00443"	"DB11921"
"DB00443"	"DB13158"
"DB00444"	"DB00218"
"DB00444"	"DB00385"
"DB00444"	"DB00444"
"DB00444"	"DB00467"
"DB00444"	"DB00487"
"DB00444"	"DB00685"
"DB00444"	"DB00970"
"DB00444"	"DB00978"
"DB00444"	"DB01059"
"DB00444"	"DB01137"
"DB00444"	"DB01165"
"DB00444"	"DB01177"
"DB00444"	"DB01204"
"DB00444"	"DB01208"
"DB00444"	"DB09047"
"DB00445"	"DB00445"
"DB00446"	"DB00446"
"DB00448"	"DB00448"
"DB00449"	"DB00449"
"DB00450"	"DB00450"
"DB00451"	"DB00451"
"DB00452"	"DB00452"
"DB00452"	"DB06809"
"DB00452"	"DB12498"
"DB00454"	"DB00454"
"DB00455"	"DB00455"
"DB00457"	"DB00457"
"DB00458"	"DB00458"
"DB00459"	"DB00459"
"DB00461"	"DB00461"
"DB00461"	"DB00465"
"DB00461"	"DB00469"
"DB00461"	"DB00500"
"DB00461"	"DB00554"
"DB00461"	"DB00712"
"DB00461"	"DB00784"
"DB00461"	"DB00788"
"DB00461"	"DB00814"
"DB00461"	"DB00821"
"DB00461"	"DB00861"
"DB00461"	"DB00870"
"DB00461"	"DB00963"
"DB00461"	"DB00991"
"DB00461"	"DB01283"
"DB00461"	"DB01399"
"DB00461"	"DB01401"
"DB00461"	"DB01419"
"DB00461"	"DB01435"
"DB00461"	"DB01600"
"DB00461"	"DB06725"
"DB00461"	"DB06736"
"DB00461"	"DB06802"
"DB00461"	"DB09214"
"DB00461"	"DB09216"
"DB00461"	"DB11071"
"DB00461"	"DB11079"
"DB00461"	"DB11201"
"DB00461"	"DB11323"
"DB00461"	"DB13501"
"DB00461"	"DB13783"
"DB00462"	"DB00332"
"DB00462"	"DB00383"
"DB00462"	"DB00462"
"DB00462"	"DB00517"
"DB00462"	"DB00986"
"DB00462"	"DB01062"
"DB00462"	"DB01231"
"DB00464"	"DB00464"
"DB00465"	"DB00461"
"DB00465"	"DB00465"
"DB00465"	"DB00469"
"DB00465"	"DB00500"
"DB00465"	"DB00554"
"DB00465"	"DB00712"
"DB00465"	"DB00784"
"DB00465"	"DB00788"
"DB00465"	"DB00814"
"DB00465"	"DB00821"
"DB00465"	"DB00861"
"DB00465"	"DB00870"
"DB00465"	"DB00963"
"DB00465"	"DB00991"
"DB00465"	"DB01283"
"DB00465"	"DB01399"
"DB00465"	"DB01401"
"DB00465"	"DB01419"
"DB00465"	"DB01435"
"DB00465"	"DB01600"
"DB00465"	"DB06725"
"DB00465"	"DB06736"
"DB00465"	"DB06802"
"DB00465"	"DB09214"
"DB00465"	"DB09216"
"DB00465"	"DB11071"
"DB00465"	"DB11079"
"DB00465"	"DB11201"
"DB00465"	"DB11323"
"DB00465"	"DB13501"
"DB00465"	"DB13783"
"DB00467"	"DB00218"
"DB00467"	"DB00385"
"DB00467"	"DB00444"
"DB00467"	"DB00467"
"DB00467"	"DB00487"
"DB00467"	"DB00685"
"DB00467"	"DB00970"
"DB00467"	"DB00978"
"DB00467"	"DB01059"
"DB00467"	"DB01137"
"DB00467"	"DB01165"
"DB00467"	"DB01177"
"DB00467"	"DB01204"
"DB00467"	"DB01208"
"DB00467"	"DB09047"
"DB00468"	"DB00468"
"DB00469"	"DB00461"
"DB00469"	"DB00465"
"DB00469"	"DB00469"
"DB00469"	"DB00500"
"DB00469"	"DB00554"
"DB00469"	"DB00712"
"DB00469"	"DB00784"
"DB00469"	"DB00788"
"DB00469"	"DB00814"
"DB00469"	"DB00821"
"DB00469"	"DB00861"
"DB00469"	"DB00870"
"DB00469"	"DB00963"
"DB00469"	"DB00991"
"DB00469"	"DB01283"
"DB00469"	"DB01399"
"DB00469"	"DB01401"
"DB00469"	"DB01419"
"DB00469"	"DB01435"
"DB00469"	"DB01600"
"DB00469"	"DB06725"
"DB00469"	"DB06736"
"DB00469"	"DB06802"
"DB00469"	"DB09214"
"DB00469"	"DB09216"
"DB00469"	"DB11071"
"DB00469"	"DB11079"
"DB00469"	"DB11201"
"DB00469"	"DB11323"
"DB00469"	"DB13501"
"DB00469"	"DB13783"
"DB00470"	"DB00470"
"DB00470"	"DB00486"
"DB00471"	"DB00471"
"DB00472"	"DB00472"
"DB00473"	"DB00473"
"DB00474"	"DB00189"
"DB00474"	"DB00349"
"DB00474"	"DB00474"
"DB00474"	"DB00475"
"DB00474"	"DB01107"
"DB00474"	"DB01437"
"DB00474"	"DB11859"
"DB00475"	"DB00189"
"DB00475"	"DB00349"
"DB00475"	"DB00474"
"DB00475"	"DB00475"
"DB00475"	"DB01107"
"DB00475"	"DB01437"
"DB00475"	"DB11859"
"DB00476"	"DB00285"
"DB00476"	"DB00476"
"DB00476"	"DB01105"
"DB00476"	"DB06700"
"DB00476"	"DB06701"
"DB00477"	"DB00477"
"DB00480"	"DB00480"
"DB00481"	"DB00481"
"DB00482"	"DB00482"
"DB00483"	"DB00483"
"DB00484"	"DB00484"
"DB00486"	"DB00470"
"DB00486"	"DB00486"
"DB00487"	"DB00218"
"DB00487"	"DB00385"
"DB00487"	"DB00444"
"DB00487"	"DB00467"
"DB00487"	"DB00487"
"DB00487"	"DB00685"
"DB00487"	"DB00970"
"DB00487"	"DB00978"
"DB00487"	"DB01059"
"DB00487"	"DB01137"
"DB00487"	"DB01165"
"DB00487"	"DB01177"
"DB00487"	"DB01204"
"DB00487"	"DB01208"
"DB00487"	"DB09047"
"DB00489"	"DB00489"
"DB00490"	"DB00490"
"DB00491"	"DB00491"
"DB00492"	"DB00492"
"DB00492"	"DB00519"
"DB00492"	"DB00542"
"DB00492"	"DB00584"
"DB00492"	"DB00722"
"DB00492"	"DB00881"
"DB00492"	"DB01180"
"DB00492"	"DB01340"
"DB00492"	"DB01348"
"DB00492"	"DB13166"
"DB00493"	"DB00493"
"DB00494"	"DB00323"
"DB00494"	"DB00494"
"DB00494"	"DB11632"
"DB00496"	"DB00340"
"DB00496"	"DB00376"
"DB00496"	"DB00496"
"DB00496"	"DB00725"
"DB00496"	"DB00785"
"DB00496"	"DB01036"
"DB00496"	"DB01409"
"DB00496"	"DB01591"
"DB00496"	"DB06702"
"DB00496"	"DB08897"
"DB00496"	"DB09076"
"DB00496"	"DB11181"
"DB00497"	"DB00318"
"DB00497"	"DB00327"
"DB00497"	"DB00497"
"DB00497"	"DB00611"
"DB00497"	"DB00708"
"DB00497"	"DB00844"
"DB00497"	"DB00854"
"DB00497"	"DB00899"
"DB00497"	"DB01535"
"DB00497"	"DB06230"
"DB00497"	"DB06274"
"DB00497"	"DB09209"
"DB00497"	"DB09272"
"DB00497"	"DB11130"
"DB00497"	"DB11691"
"DB00498"	"DB00498"
"DB00498"	"DB00946"
"DB00498"	"DB01418"
"DB00499"	"DB00499"
"DB00500"	"DB00461"
"DB00500"	"DB00465"
"DB00500"	"DB00469"
"DB00500"	"DB00500"
"DB00500"	"DB00554"
"DB00500"	"DB00712"
"DB00500"	"DB00784"
"DB00500"	"DB00788"
"DB00500"	"DB00814"
"DB00500"	"DB00821"
"DB00500"	"DB00861"
"DB00500"	"DB00870"
"DB00500"	"DB00963"
"DB00500"	"DB00991"
"DB00500"	"DB01283"
"DB00500"	"DB01399"
"DB00500"	"DB01401"
"DB00500"	"DB01419"
"DB00500"	"DB01435"
"DB00500"	"DB01600"
"DB00500"	"DB06725"
"DB00500"	"DB06736"
"DB00500"	"DB06802"
"DB00500"	"DB09214"
"DB00500"	"DB09216"
"DB00500"	"DB11071"
"DB00500"	"DB11079"
"DB00500"	"DB11201"
"DB00500"	"DB11323"
"DB00500"	"DB13501"
"DB00500"	"DB13783"
"DB00501"	"DB00272"
"DB00501"	"DB00501"
"DB00501"	"DB00585"
"DB00501"	"DB00927"
"DB00502"	"DB00502"
"DB00503"	"DB00239"
"DB00503"	"DB00503"
"DB00503"	"DB00531"
"DB00503"	"DB01127"
"DB00503"	"DB01181"
"DB00503"	"DB01220"
"DB00503"	"DB08864"
"DB00503"	"DB11087"
"DB00503"	"DB13179"
"DB00504"	"DB00504"
"DB00504"	"DB00802"
"DB00504"	"DB00913"
"DB00504"	"DB09049"
"DB00508"	"DB00508"
"DB00509"	"DB00509"
"DB00511"	"DB00390"
"DB00511"	"DB00511"
"DB00511"	"DB01078"
"DB00511"	"DB01158"
"DB00511"	"DB01188"
"DB00511"	"DB01345"
"DB00511"	"DB01378"
"DB00511"	"DB01396"
"DB00511"	"DB01430"
"DB00511"	"DB13996"
"DB00511"	"DB14498"
"DB00511"	"DB14499"
"DB00513"	"DB00513"
"DB00514"	"DB00514"
"DB00515"	"DB00515"
"DB00517"	"DB00332"
"DB00517"	"DB00383"
"DB00517"	"DB00462"
"DB00517"	"DB00517"
"DB00517"	"DB00986"
"DB00517"	"DB01062"
"DB00517"	"DB01231"
"DB00518"	"DB00518"
"DB00518"	"DB00643"
"DB00519"	"DB00492"
"DB00519"	"DB00519"
"DB00519"	"DB00542"
"DB00519"	"DB00584"
"DB00519"	"DB00722"
"DB00519"	"DB00881"
"DB00519"	"DB01180"
"DB00519"	"DB01340"
"DB00519"	"DB01348"
"DB00519"	"DB13166"
"DB00521"	"DB00195"
"DB00521"	"DB00221"
"DB00521"	"DB00264"
"DB00521"	"DB00335"
"DB00521"	"DB00373"
"DB00521"	"DB00521"
"DB00521"	"DB00612"
"DB00521"	"DB01193"
"DB00521"	"DB01203"
"DB00521"	"DB01210"
"DB00521"	"DB01214"
"DB00521"	"DB01291"
"DB00521"	"DB04861"
"DB00523"	"DB00523"
"DB00527"	"DB00527"
"DB00528"	"DB00528"
"DB00530"	"DB00530"
"DB00531"	"DB00239"
"DB00531"	"DB00503"
"DB00531"	"DB00531"
"DB00531"	"DB01127"
"DB00531"	"DB01181"
"DB00531"	"DB01220"
"DB00531"	"DB08864"
"DB00531"	"DB11087"
"DB00531"	"DB13179"
"DB00532"	"DB00532"
"DB00532"	"DB00754"
"DB00533"	"DB00533"
"DB00534"	"DB00534"
"DB00535"	"DB00535"
"DB00536"	"DB00536"
"DB00537"	"DB00537"
"DB00539"	"DB00539"
"DB00539"	"DB00882"
"DB00539"	"DB00890"
"DB00539"	"DB11478"
"DB00540"	"DB00540"
"DB00541"	"DB00541"
"DB00542"	"DB00492"
"DB00542"	"DB00519"
"DB00542"	"DB00542"
"DB00542"	"DB00584"
"DB00542"	"DB00722"
"DB00542"	"DB00881"
"DB00542"	"DB01180"
"DB00542"	"DB01340"
"DB00542"	"DB01348"
"DB00542"	"DB13166"
"DB00543"	"DB00543"
"DB00544"	"DB00322"
"DB00544"	"DB00432"
"DB00544"	"DB00544"
"DB00544"	"DB01101"
"DB00544"	"DB09256"
"DB00545"	"DB00545"
"DB00547"	"DB00180"
"DB00547"	"DB00223"
"DB00547"	"DB00240"
"DB00547"	"DB00253"
"DB00547"	"DB00324"
"DB00547"	"DB00394"
"DB00547"	"DB00443"
"DB00547"	"DB00547"
"DB00547"	"DB00596"
"DB00547"	"DB00620"
"DB00547"	"DB00663"
"DB00547"	"DB00769"
"DB00547"	"DB00838"
"DB00547"	"DB00846"
"DB00547"	"DB00860"
"DB00547"	"DB14596"
"DB00547"	"DB00896"
"DB00547"	"DB00959"
"DB00547"	"DB01013"
"DB00547"	"DB01130"
"DB00547"	"DB01222"
"DB00547"	"DB01260"
"DB00547"	"DB01380"
"DB00547"	"DB01410"
"DB00547"	"DB06781"
"DB00547"	"DB11921"
"DB00547"	"DB13158"
"DB00548"	"DB00548"
"DB00549"	"DB00549"
"DB00550"	"DB00389"
"DB00550"	"DB00550"
"DB00550"	"DB00763"
"DB00550"	"DB11085"
"DB00550"	"DB11496"
"DB00551"	"DB00551"
"DB00552"	"DB00552"
"DB00554"	"DB00461"
"DB00554"	"DB00465"
"DB00554"	"DB00469"
"DB00554"	"DB00500"
"DB00554"	"DB00554"
"DB00554"	"DB00712"
"DB00554"	"DB00784"
"DB00554"	"DB00788"
"DB00554"	"DB00814"
"DB00554"	"DB00821"
"DB00554"	"DB00861"
"DB00554"	"DB00870"
"DB00554"	"DB00963"
"DB00554"	"DB00991"
"DB00554"	"DB01283"
"DB00554"	"DB01399"
"DB00554"	"DB01401"
"DB00554"	"DB01419"
"DB00554"	"DB01435"
"DB00554"	"DB01600"
"DB00554"	"DB06725"
"DB00554"	"DB06736"
"DB00554"	"DB06802"
"DB00554"	"DB09214"
"DB00554"	"DB09216"
"DB00554"	"DB11071"
"DB00554"	"DB11079"
"DB00554"	"DB11201"
"DB00554"	"DB11323"
"DB00554"	"DB13501"
"DB00554"	"DB13783"
"DB00555"	"DB00555"
"DB00557"	"DB00283"
"DB00557"	"DB00341"
"DB00557"	"DB00405"
"DB00557"	"DB00427"
"DB00557"	"DB00557"
"DB00557"	"DB00719"
"DB00557"	"DB00737"
"DB00557"	"DB00748"
"DB00557"	"DB00792"
"DB00557"	"DB00902"
"DB00557"	"DB00950"
"DB00557"	"DB00967"
"DB00557"	"DB00972"
"DB00557"	"DB00985"
"DB00557"	"DB01084"
"DB00557"	"DB01237"
"DB00557"	"DB01246"
"DB00557"	"DB01619"
"DB00557"	"DB01620"
"DB00557"	"DB04837"
"DB00557"	"DB04890"
"DB00557"	"DB06282"
"DB00557"	"DB06691"
"DB00557"	"DB06766"
"DB00557"	"DB08799"
"DB00557"	"DB08936"
"DB00557"	"DB09488"
"DB00557"	"DB09555"
"DB00557"	"DB11591"
"DB00558"	"DB00558"
"DB00559"	"DB00559"
"DB00559"	"DB06268"
"DB00559"	"DB06403"
"DB00559"	"DB08932"
"DB00561"	"DB00561"
"DB00562"	"DB00562"
"DB00563"	"DB00563"
"DB00563"	"DB01131"
"DB00563"	"DB01157"
"DB00564"	"DB00564"
"DB00565"	"DB00416"
"DB00565"	"DB00565"
"DB00565"	"DB00732"
"DB00565"	"DB01339"
"DB00568"	"DB00568"
"DB00569"	"DB00569"
"DB00569"	"DB01225"
"DB00569"	"DB09141"
"DB00570"	"DB00570"
"DB00571"	"DB00571"
"DB00571"	"DB00960"
"DB00572"	"DB00572"
"DB00573"	"DB00573"
"DB00574"	"DB00574"
"DB00575"	"DB00575"
"DB00575"	"DB00935"
"DB00575"	"DB06694"
"DB00579"	"DB00579"
"DB00580"	"DB00580"
"DB00583"	"DB00583"
"DB00584"	"DB00492"
"DB00584"	"DB00519"
"DB00584"	"DB00542"
"DB00584"	"DB00584"
"DB00584"	"DB00722"
"DB00584"	"DB00881"
"DB00584"	"DB01180"
"DB00584"	"DB01340"
"DB00584"	"DB01348"
"DB00584"	"DB13166"
"DB00585"	"DB00272"
"DB00585"	"DB00501"
"DB00585"	"DB00585"
"DB00585"	"DB00927"
"DB00586"	"DB00586"
"DB00588"	"DB00588"
"DB00588"	"DB13867"
"DB00589"	"DB00589"
"DB00590"	"DB00590"
"DB00591"	"DB00591"
"DB00592"	"DB00592"
"DB00592"	"DB06716"
"DB00593"	"DB00347"
"DB00593"	"DB00593"
"DB00593"	"DB05246"
"DB00594"	"DB00594"
"DB00596"	"DB00180"
"DB00596"	"DB00223"
"DB00596"	"DB00240"
"DB00596"	"DB00253"
"DB00596"	"DB00324"
"DB00596"	"DB00394"
"DB00596"	"DB00443"
"DB00596"	"DB00547"
"DB00596"	"DB00596"
"DB00596"	"DB00620"
"DB00596"	"DB00663"
"DB00596"	"DB00769"
"DB00596"	"DB00838"
"DB00596"	"DB00846"
"DB00596"	"DB00860"
"DB00596"	"DB14596"
"DB00596"	"DB00896"
"DB00596"	"DB00959"
"DB00596"	"DB01013"
"DB00596"	"DB01130"
"DB00596"	"DB01222"
"DB00596"	"DB01260"
"DB00596"	"DB01380"
"DB00596"	"DB01410"
"DB00596"	"DB06781"
"DB00596"	"DB11921"
"DB00596"	"DB13158"
"DB00598"	"DB00598"
"DB00599"	"DB00599"
"DB00600"	"DB00600"
"DB00600"	"DB09526"
"DB00600"	"DB11217"
"DB00602"	"DB00602"
"DB00603"	"DB00294"
"DB00603"	"DB00304"
"DB00603"	"DB00603"
"DB00603"	"DB00823"
"DB00604"	"DB00604"
"DB00605"	"DB00605"
"DB00606"	"DB00606"
"DB00608"	"DB00608"
"DB00610"	"DB00610"
"DB00610"	"DB00699"
"DB00610"	"DB01253"
"DB00610"	"DB06764"
"DB00610"	"DB09205"
"DB00611"	"DB00318"
"DB00611"	"DB00327"
"DB00611"	"DB00497"
"DB00611"	"DB00611"
"DB00611"	"DB00708"
"DB00611"	"DB00844"
"DB00611"	"DB00854"
"DB00611"	"DB00899"
"DB00611"	"DB01535"
"DB00611"	"DB06230"
"DB00611"	"DB06274"
"DB00611"	"DB09209"
"DB00611"	"DB09272"
"DB00611"	"DB11130"
"DB00611"	"DB11691"
"DB00612"	"DB00195"
"DB00612"	"DB00221"
"DB00612"	"DB00264"
"DB00612"	"DB00335"
"DB00612"	"DB00373"
"DB00612"	"DB00521"
"DB00612"	"DB00612"
"DB00612"	"DB01193"
"DB00612"	"DB01203"
"DB00612"	"DB01210"
"DB00612"	"DB01214"
"DB00612"	"DB01291"
"DB00612"	"DB04861"
"DB00613"	"DB00613"
"DB00615"	"DB00615"
"DB00617"	"DB00617"
"DB00619"	"DB00619"
"DB00620"	"DB00180"
"DB00620"	"DB00223"
"DB00620"	"DB00240"
"DB00620"	"DB00253"
"DB00620"	"DB00324"
"DB00620"	"DB00394"
"DB00620"	"DB00443"
"DB00620"	"DB00547"
"DB00620"	"DB00596"
"DB00620"	"DB00620"
"DB00620"	"DB00663"
"DB00620"	"DB00769"
"DB00620"	"DB00838"
"DB00620"	"DB00846"
"DB00620"	"DB00860"
"DB00620"	"DB14596"
"DB00620"	"DB00896"
"DB00620"	"DB00959"
"DB00620"	"DB01013"
"DB00620"	"DB01130"
"DB00620"	"DB01222"
"DB00620"	"DB01260"
"DB00620"	"DB01380"
"DB00620"	"DB01410"
"DB00620"	"DB06781"
"DB00620"	"DB11921"
"DB00620"	"DB13158"
"DB00621"	"DB00621"
"DB00621"	"DB00665"
"DB00621"	"DB00984"
"DB00621"	"DB01128"
"DB00621"	"DB01420"
"DB00621"	"DB01541"
"DB00621"	"DB08804"
"DB00621"	"DB08899"
"DB00621"	"DB11429"
"DB00621"	"DB11447"
"DB00621"	"DB13155"
"DB00621"	"DB14639"
"DB00622"	"DB00622"
"DB00623"	"DB00623"
"DB00624"	"DB00624"
"DB00624"	"DB06710"
"DB00624"	"DB13943"
"DB00624"	"DB13944"
"DB00624"	"DB13946"
"DB00626"	"DB00626"
"DB00627"	"DB00627"
"DB00628"	"DB00186"
"DB00628"	"DB00628"
"DB00628"	"DB00962"
"DB00629"	"DB00629"
"DB00629"	"DB01018"
"DB00630"	"DB00630"
"DB00631"	"DB00631"
"DB00633"	"DB00633"
"DB00633"	"DB06707"
"DB00633"	"DB11477"
"DB00633"	"DB11738"
"DB00635"	"DB00635"
"DB00636"	"DB00636"
"DB00636"	"DB01241"
"DB00636"	"DB09064"
"DB00636"	"DB09422"
"DB00637"	"DB00637"
"DB00640"	"DB00640"
"DB00641"	"DB00641"
"DB00642"	"DB00642"
"DB00643"	"DB00518"
"DB00643"	"DB00643"
"DB00644"	"DB00644"
"DB00644"	"DB00666"
"DB00645"	"DB00296"
"DB00645"	"DB00297"
"DB00645"	"DB00645"
"DB00645"	"DB00807"
"DB00645"	"DB00892"
"DB00645"	"DB00961"
"DB00645"	"DB01002"
"DB00645"	"DB01086"
"DB00647"	"DB00647"
"DB00647"	"DB01452"
"DB00648"	"DB00648"
"DB00651"	"DB00651"
"DB00652"	"DB00652"
"DB00653"	"DB00653"
"DB00654"	"DB00287"
"DB00654"	"DB00654"
"DB00654"	"DB08819"
"DB00654"	"DB11660"
"DB00655"	"DB00655"
"DB00656"	"DB00656"
"DB00657"	"DB00657"
"DB00659"	"DB00659"
"DB00661"	"DB00661"
"DB00663"	"DB00180"
"DB00663"	"DB00223"
"DB00663"	"DB00240"
"DB00663"	"DB00253"
"DB00663"	"DB00324"
"DB00663"	"DB00394"
"DB00663"	"DB00443"
"DB00663"	"DB00547"
"DB00663"	"DB00596"
"DB00663"	"DB00620"
"DB00663"	"DB00663"
"DB00663"	"DB00769"
"DB00663"	"DB00838"
"DB00663"	"DB00846"
"DB00663"	"DB00860"
"DB00663"	"DB14596"
"DB00663"	"DB00896"
"DB00663"	"DB00959"
"DB00663"	"DB01013"
"DB00663"	"DB01130"
"DB00663"	"DB01222"
"DB00663"	"DB01260"
"DB00663"	"DB01380"
"DB00663"	"DB01410"
"DB00663"	"DB06781"
"DB00663"	"DB11921"
"DB00663"	"DB13158"
"DB00665"	"DB00621"
"DB00665"	"DB00665"
"DB00665"	"DB00984"
"DB00665"	"DB01128"
"DB00665"	"DB01420"
"DB00665"	"DB01541"
"DB00665"	"DB08804"
"DB00665"	"DB08899"
"DB00665"	"DB11429"
"DB00665"	"DB11447"
"DB00665"	"DB13155"
"DB00665"	"DB14639"
"DB00666"	"DB00644"
"DB00666"	"DB00666"
"DB00668"	"DB00668"
"DB00669"	"DB00315"
"DB00669"	"DB00669"
"DB00669"	"DB00952"
"DB00670"	"DB00209"
"DB00670"	"DB00219"
"DB00670"	"DB00670"
"DB00670"	"DB00771"
"DB00670"	"DB00782"
"DB00670"	"DB00942"
"DB00670"	"DB00979"
"DB00670"	"DB11855"
"DB00672"	"DB00672"
"DB00672"	"DB00839"
"DB00673"	"DB00673"
"DB00673"	"DB09048"
"DB00674"	"DB00674"
"DB00675"	"DB00675"
"DB00677"	"DB00677"
"DB00678"	"DB00177"
"DB00678"	"DB00275"
"DB00678"	"DB00678"
"DB00678"	"DB00796"
"DB00678"	"DB00876"
"DB00678"	"DB08822"
"DB00678"	"DB11842"
"DB00679"	"DB00679"
"DB00680"	"DB00192"
"DB00680"	"DB00680"
"DB00680"	"DB00750"
"DB00680"	"DB00776"
"DB00680"	"DB00868"
"DB00680"	"DB01056"
"DB00680"	"DB01228"
"DB00680"	"DB01320"
"DB00680"	"DB01426"
"DB00682"	"DB00682"
"DB00683"	"DB00371"
"DB00683"	"DB00683"
"DB00685"	"DB00218"
"DB00685"	"DB00385"
"DB00685"	"DB00444"
"DB00685"	"DB00467"
"DB00685"	"DB00487"
"DB00685"	"DB00685"
"DB00685"	"DB00970"
"DB00685"	"DB00978"
"DB00685"	"DB01059"
"DB00685"	"DB01137"
"DB00685"	"DB01165"
"DB00685"	"DB01177"
