"Other_symbol"	"Type_of_symbol"	"Approved.symbol"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"NCRNA00181"	"Previous_symbol"	"A1BG-AS1"	"   503538"	"ENSG00000268895"
"A1BGAS"	"Previous_symbol"	"A1BG-AS1"	"   503538"	"ENSG00000268895"
"A1BG-AS"	"Previous_symbol"	"A1BG-AS1"	"   503538"	"ENSG00000268895"
"CPAMD9"	"Previous_symbol"	"A2ML1"	"   144568"	"ENSG00000166535"
"A2MP"	"Previous_symbol"	"A2MP1"	"        3"	"ENSG00000256069"
"A3GALT2P"	"Previous_symbol"	"A3GALT2"	"   127550"	"ENSG00000184389"
"P1"	"Previous_symbol"	"A4GALT"	"    53947"	"ENSG00000128274"
"AACSL"	"Previous_symbol"	"AACSP1"	"   729522"	"ENSG00000250420"
"C11orf67"	"Previous_symbol"	"AAMDC"	"    28971"	"ENSG00000087884"
"C20orf4"	"Previous_symbol"	"AAR2"	"    25980"	"ENSG00000131043"
"C8orf85"	"Previous_symbol"	"AARD"	"   441376"	"ENSG00000205002"
"AARS"	"Previous_symbol"	"AARS1"	"       16"	"ENSG00000090861"
"AARSP1"	"Previous_symbol"	"AARS1P1"	"106480683"	"ENSG00000249038"
"AARSL"	"Previous_symbol"	"AARS2"	"    57505"	"ENSG00000124608"
"ABC1"	"Previous_symbol"	"ABCA1"	"       19"	"ENSG00000165029"
"HDLDT1"	"Previous_symbol"	"ABCA1"	"       19"	"ENSG00000165029"
"ABC2"	"Previous_symbol"	"ABCA2"	"       20"	"ENSG00000107331"
"ABC3"	"Previous_symbol"	"ABCA3"	"       21"	"ENSG00000167972"
"STGD1"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"ABCR"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"RP19"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"STGD"	"Previous_symbol"	"ABCA4"	"       24"	"ENSG00000198691"
"ABCA11"	"Previous_symbol"	"ABCA11P"	"    79963"	"ENSG00000251595"
"ICR2B"	"Previous_symbol"	"ABCA12"	"    26154"	"ENSG00000144452"
"PGY1"	"Previous_symbol"	"ABCB1"	"     5243"	"ENSG00000085563"
"MDR1"	"Previous_symbol"	"ABCB1"	"     5243"	"ENSG00000085563"
"CLCS"	"Previous_symbol"	"ABCB1"	"     5243"	"ENSG00000085563"
"PGY3"	"Previous_symbol"	"ABCB4"	"     5244"	"ENSG00000005471"
"MDR3"	"Previous_symbol"	"ABCB4"	"     5244"	"ENSG00000005471"
"ABC7"	"Previous_symbol"	"ABCB7"	"       22"	"ENSG00000131269"
"ABCB10P"	"Previous_symbol"	"ABCB10P1"	"    56476"	"ENSG00000274099"
"ABCB10P2"	"Previous_symbol"	"ABCB10P1"	"    56476"	"ENSG00000274099"
"BSEP"	"Previous_symbol"	"ABCB11"	"     8647"	"ENSG00000073734"
"PFIC2"	"Previous_symbol"	"ABCB11"	"     8647"	"ENSG00000073734"
"MRP"	"Previous_symbol"	"ABCC1"	"     4363"	"ENSG00000103222"
"MRP1"	"Previous_symbol"	"ABCC1"	"     4363"	"ENSG00000103222"
"CMOAT"	"Previous_symbol"	"ABCC2"	"     1244"	"ENSG00000023839"
"ARA"	"Previous_symbol"	"ABCC6"	"      368"	"ENSG00000091262"
"PXE"	"Previous_symbol"	"ABCC6"	"      368"	"ENSG00000091262"
"SUR"	"Previous_symbol"	"ABCC8"	"     6833"	"ENSG00000006071"
"HRINS"	"Previous_symbol"	"ABCC8"	"     6833"	"ENSG00000006071"
"ALD"	"Previous_symbol"	"ABCD1"	"      215"	"ENSG00000101986"
"ALDL1"	"Previous_symbol"	"ABCD2"	"      225"	"ENSG00000173208"
"PXMP1"	"Previous_symbol"	"ABCD3"	"     5825"	"ENSG00000117528"
"PXMP1L"	"Previous_symbol"	"ABCD4"	"     5826"	"ENSG00000119688"
"RNASEL1"	"Previous_symbol"	"ABCE1"	"     6059"	"ENSG00000164163"
"RNASELI"	"Previous_symbol"	"ABCE1"	"     6059"	"ENSG00000164163"
"RNS4I"	"Previous_symbol"	"ABCE1"	"     6059"	"ENSG00000164163"
"ABC50"	"Previous_symbol"	"ABCF1"	"       23"	"ENSG00000204574"
"WBSCR21"	"Previous_symbol"	"ABHD11"	"    83451"	"ENSG00000106077"
"WBSCR26"	"Previous_symbol"	"ABHD11-AS1"	"   171022"	"ENSG00000225969"
"LINC00035"	"Previous_symbol"	"ABHD11-AS1"	"   171022"	"ENSG00000225969"
"C20orf22"	"Previous_symbol"	"ABHD12"	"    26090"	"ENSG00000100997"
"C14orf29"	"Previous_symbol"	"ABHD12B"	"   145447"	"ENSG00000131969"
"C13orf6"	"Previous_symbol"	"ABHD13"	"    84945"	"ENSG00000139826"
"BAT5"	"Previous_symbol"	"ABHD16A"	"     7920"	"ENSG00000204427"
"C20orf135"	"Previous_symbol"	"ABHD16B"	"   140701"	"ENSG00000183260"
"C19orf27"	"Previous_symbol"	"ABHD17A"	"    81926"	"ENSG00000129968"
"FAM108A1"	"Previous_symbol"	"ABHD17A"	"    81926"	"ENSG00000129968"
"FAM108A2"	"Previous_symbol"	"ABHD17AP1"	"   728917"	"ENSG00000198658"
"ABHD17AP2"	"Previous_symbol"	"ABHD17AP1"	"   728917"	"ENSG00000198658"
"FAM108A3"	"Previous_symbol"	"ABHD17AP1"	"   728917"	"ENSG00000198658"
"FAM108A11P"	"Previous_symbol"	"ABHD17AP1"	"   728917"	"ENSG00000198658"
"FAM108A3P"	"Previous_symbol"	"ABHD17AP1"	"   728917"	"ENSG00000198658"
"FAM108A4"	"Previous_symbol"	"ABHD17AP3"	"   648359"	"ENSG00000250536"
"FAM108A4P"	"Previous_symbol"	"ABHD17AP3"	"   648359"	"ENSG00000250536"
"FAM108A5"	"Previous_symbol"	"ABHD17AP4"	"   729495"	"ENSG00000229107"
"FAM108A5P"	"Previous_symbol"	"ABHD17AP4"	"   729495"	"ENSG00000229107"
"FAM108A6"	"Previous_symbol"	"ABHD17AP5"	"    91219"	"ENSG00000263366"
"FAM108A6P"	"Previous_symbol"	"ABHD17AP5"	"    91219"	"ENSG00000263366"
"FAM108A7P"	"Previous_symbol"	"ABHD17AP6"	"   644988"	"ENSG00000226981"
"FAM108A8P"	"Previous_symbol"	"ABHD17AP7"	"100133212"	"ENSG00000260864"
"FAM108A9P"	"Previous_symbol"	"ABHD17AP8"	"   647144"	"ENSG00000260540"
"FAM108A10P"	"Previous_symbol"	"ABHD17AP9"	"100132251"	"ENSG00000261536"
"C9orf77"	"Previous_symbol"	"ABHD17B"	"    51104"	"ENSG00000107362"
"FAM108B1"	"Previous_symbol"	"ABHD17B"	"    51104"	"ENSG00000107362"
"FAM108C1"	"Previous_symbol"	"ABHD17C"	"    58489"	"ENSG00000136379"
"C4orf29"	"Previous_symbol"	"ABHD18"	"    80167"	"ENSG00000164074"
"SSH3BP1"	"Previous_symbol"	"ABI1"	"    10006"	"ENSG00000136754"
"SSH3BP1P"	"Previous_symbol"	"ABI1P1"	"   326268"	"ENSG00000271484"
"ABI1P"	"Previous_symbol"	"ABI1P1"	"   326268"	"ENSG00000271484"
"C9orf6"	"Previous_symbol"	"ABITRAM"	"    54942"	"ENSG00000119328"
"FAM206A"	"Previous_symbol"	"ABITRAM"	"    54942"	"ENSG00000119328"
"FAM206BP"	"Previous_symbol"	"ABITRAMP1"	"   390403"	"ENSG00000251106"
"ABL"	"Previous_symbol"	"ABL1"	"       25"	"ENSG00000097007"
"ABLL"	"Previous_symbol"	"ABL2"	"       27"	"ENSG00000143322"
"LIMAB1"	"Previous_symbol"	"ABLIM1"	"     3983"	"ENSG00000099204"
"ABLIM"	"Previous_symbol"	"ABLIM1"	"     3983"	"ENSG00000099204"
"C6orf115"	"Previous_symbol"	"ABRACL"	"    58527"	"ENSG00000146386"
"CCDC98"	"Previous_symbol"	"ABRAXAS1"	"    84142"	"ENSG00000163322"
"FAM175A"	"Previous_symbol"	"ABRAXAS1"	"    84142"	"ENSG00000163322"
"KIAA0157"	"Previous_symbol"	"ABRAXAS2"	"    23172"	"ENSG00000165660"
"FAM175B"	"Previous_symbol"	"ABRAXAS2"	"    23172"	"ENSG00000165660"
"ACAC"	"Previous_symbol"	"ACACA"	"       31"	"ENSG00000278540"
"ACC"	"Previous_symbol"	"ACACA"	"       31"	"ENSG00000278540"
"MSK16"	"Previous_symbol"	"ACAN"	"      176"	"ENSG00000157766"
"CSPG1"	"Previous_symbol"	"ACAN"	"      176"	"ENSG00000157766"
"AGC1"	"Previous_symbol"	"ACAN"	"      176"	"ENSG00000157766"
"CENTB1"	"Previous_symbol"	"ACAP1"	"     9744"	"ENSG00000072818"
"CENTB2"	"Previous_symbol"	"ACAP2"	"    23527"	"ENSG00000114331"
"CENTB5"	"Previous_symbol"	"ACAP3"	"   116983"	"ENSG00000131584"
"ACAT"	"Previous_symbol"	"ACAT1"	"       38"	"ENSG00000075239"
"GOLPH1"	"Previous_symbol"	"ACBD3"	"    64746"	"ENSG00000182827"
"GOCAP1"	"Previous_symbol"	"ACBD3"	"    64746"	"ENSG00000182827"
"DCP1"	"Previous_symbol"	"ACE"	"     1636"	"ENSG00000159640"
"ASAH3"	"Previous_symbol"	"ACER1"	"   125981"	"ENSG00000167769"
"ASAH3L"	"Previous_symbol"	"ACER2"	"   340485"	"ENSG00000177076"
"PHCA"	"Previous_symbol"	"ACER3"	"    55331"	"ENSG00000078124"
"YT"	"Previous_symbol"	"ACHE"	"       43"	"ENSG00000087085"
"ACINUS"	"Previous_symbol"	"ACIN1"	"    22985"	"ENSG00000100813"
"FY"	"Previous_symbol"	"ACKR1"	"     2532"	"ENSG00000213088"
"DARC"	"Previous_symbol"	"ACKR1"	"     2532"	"ENSG00000213088"
"CMKBR9"	"Previous_symbol"	"ACKR2"	"     1238"	"ENSG00000144648"
"CCBP2"	"Previous_symbol"	"ACKR2"	"     1238"	"ENSG00000144648"
"CMKOR1"	"Previous_symbol"	"ACKR3"	"    57007"	"ENSG00000144476"
"CXCR7"	"Previous_symbol"	"ACKR3"	"    57007"	"ENSG00000144476"
"CCRL1"	"Previous_symbol"	"ACKR4"	"    51554"	"ENSG00000129048"
"CCRL1P"	"Previous_symbol"	"ACKR4P1"	"   285737"	"ENSG00000225415"
"CCRL1P1"	"Previous_symbol"	"ACKR4P1"	"   285737"	"ENSG00000225415"
"BAATP1"	"Previous_symbol"	"ACNATP"	"   347275"	"ENSG00000227411"
"IREB1"	"Previous_symbol"	"ACO1"	"       48"	"ENSG00000122729"
"IRG1"	"Previous_symbol"	"ACOD1"	"   730249"	"ENSG00000102794"
"C14orf42"	"Previous_symbol"	"ACOT6"	"   641372"	"ENSG00000205669"
"PTE1"	"Previous_symbol"	"ACOT8"	"    10005"	"ENSG00000101473"
"THEA"	"Previous_symbol"	"ACOT11"	"    26027"	"ENSG00000162390"
"THEM2"	"Previous_symbol"	"ACOT13"	"    55856"	"ENSG00000112304"
"ACPP"	"Previous_symbol"	"ACP3"	"       55"	"ENSG00000014257"
"ACPT"	"Previous_symbol"	"ACP4"	"    93650"	"ENSG00000142513"
"FACL2"	"Previous_symbol"	"ACSL1"	"     2180"	"ENSG00000151726"
"FACL3"	"Previous_symbol"	"ACSL3"	"     2181"	"ENSG00000123983"
"FACL4"	"Previous_symbol"	"ACSL4"	"     2182"	"ENSG00000068366"
"MRX63"	"Previous_symbol"	"ACSL4"	"     2182"	"ENSG00000068366"
"MRX68"	"Previous_symbol"	"ACSL4"	"     2182"	"ENSG00000068366"
"FACL5"	"Previous_symbol"	"ACSL5"	"    51703"	"ENSG00000197142"
"FACL6"	"Previous_symbol"	"ACSL6"	"    23305"	"ENSG00000164398"
"BUCS1"	"Previous_symbol"	"ACSM1"	"   116285"	"ENSG00000166743"
"ACSM2"	"Previous_symbol"	"ACSM2A"	"   123876"	"ENSG00000183747"
"ACSM2"	"Previous_symbol"	"ACSM2B"	"   348158"	"ENSG00000066813"
"SAH"	"Previous_symbol"	"ACSM3"	"     6296"	"ENSG00000005187"
"C10orf129"	"Previous_symbol"	"ACSM6"	"   142827"	"ENSG00000173124"
"ACAS2L"	"Previous_symbol"	"ACSS1"	"    84532"	"ENSG00000154930"
"ACAS2"	"Previous_symbol"	"ACSS2"	"    55902"	"ENSG00000131069"
"ACTA"	"Previous_symbol"	"ACTA1"	"       58"	"ENSG00000143632"
"ACTGP5"	"Previous_symbol"	"ACTBP12"	"100462767"	"ENSG00000233125"
"ACTC"	"Previous_symbol"	"ACTC1"	"       70"	"ENSG00000159251"
"ACTG"	"Previous_symbol"	"ACTG1"	"       71"	"ENSG00000184009"
"DFNA20"	"Previous_symbol"	"ACTG1"	"       71"	"ENSG00000184009"
"DFNA26"	"Previous_symbol"	"ACTG1"	"       71"	"ENSG00000184009"
"ACTGP1"	"Previous_symbol"	"ACTG1P1"	"       73"	"ENSG00000178631"
"ACT1GP1"	"Previous_symbol"	"ACTG1P1"	"       73"	"ENSG00000178631"
"ACTL2"	"Previous_symbol"	"ACTG1P2"	"       74"	"ENSG00000229129"
"ACTGP2"	"Previous_symbol"	"ACTG1P2"	"       74"	"ENSG00000229129"
"ACTGP3"	"Previous_symbol"	"ACTG1P3"	"       75"	"ENSG00000215388"
"ACTGP4"	"Previous_symbol"	"ACTG1P4"	"   648740"	"ENSG00000236085"
"ACTGP6"	"Previous_symbol"	"ACTG1P6"	"       78"	NA
"ACTGP7"	"Previous_symbol"	"ACTG1P7"	"       79"	NA
"ACTGP8"	"Previous_symbol"	"ACTG1P8"	"       80"	NA
"ACTGP9"	"Previous_symbol"	"ACTG1P9"	"       82"	"ENSG00000229349"
"ACTL1"	"Previous_symbol"	"ACTG1P10"	"       83"	"ENSG00000231340"
"ACTGP10"	"Previous_symbol"	"ACTG1P10"	"       83"	"ENSG00000231340"
"POTENP"	"Previous_symbol"	"ACTG1P24"	"   441783"	"ENSG00000226359"
"ACTL3"	"Previous_symbol"	"ACTG2"	"       72"	"ENSG00000163017"
"ACTA3"	"Previous_symbol"	"ACTG2"	"       72"	"ENSG00000163017"
"ACTL6"	"Previous_symbol"	"ACTL6B"	"    51412"	"ENSG00000077080"
"C20orf134"	"Previous_symbol"	"ACTL10"	"   170487"	"ENSG00000182584"
"ACTBP13"	"Previous_symbol"	"ACTL11P"	"   389120"	"ENSG00000234667"
"C14orf84"	"Previous_symbol"	"ACTN1-AS1"	"   161159"	"ENSG00000259062"
"FSGS1"	"Previous_symbol"	"ACTN4"	"       81"	"ENSG00000130402"
"CTRN2"	"Previous_symbol"	"ACTR1B"	"    10120"	"ENSG00000115073"
"ACVRLK2"	"Previous_symbol"	"ACVR1"	"       90"	"ENSG00000115170"
"ACVRLK4"	"Previous_symbol"	"ACVR1B"	"       91"	"ENSG00000135503"
"ACVR2"	"Previous_symbol"	"ACVR2A"	"       92"	"ENSG00000121989"
"ACVRLK1"	"Previous_symbol"	"ACVRL1"	"       94"	"ENSG00000139567"
"ORW2"	"Previous_symbol"	"ACVRL1"	"       94"	"ENSG00000139567"
"IDGFL"	"Previous_symbol"	"ADA2"	"    51816"	"ENSG00000093072"
"CECR1"	"Previous_symbol"	"ADA2"	"    51816"	"ENSG00000093072"
"ADAM1"	"Previous_symbol"	"ADAM1A"	"     8759"	"ENSG00000229186"
"FTNB"	"Previous_symbol"	"ADAM2"	"     2515"	"ENSG00000104755"
"CYRN1"	"Previous_symbol"	"ADAM3A"	"     1587"	"ENSG00000197475"
"CYRN2"	"Previous_symbol"	"ADAM3B"	"     1596"	"ENSG00000260089"
"ADAM5P"	"Previous_symbol"	"ADAM5"	"   255926"	"ENSG00000196115"
"C14orf96"	"Previous_symbol"	"ADAM6"	"     8755"	"ENSG00000271968"
"CORD9"	"Previous_symbol"	"ADAM9"	"     8754"	"ENSG00000168615"
"MDC"	"Previous_symbol"	"ADAM11"	"     4185"	"ENSG00000073670"
"TACE"	"Previous_symbol"	"ADAM17"	"     6868"	"ENSG00000151694"
"C14orf55"	"Previous_symbol"	"ADAM20P1"	"   317760"	"ENSG00000259158"
"ADAM21P"	"Previous_symbol"	"ADAM21P1"	"   145241"	"ENSG00000235812"
"C20orf153"	"Previous_symbol"	"ADAM33"	"    80332"	"ENSG00000149451"
"ADAMTS7P2"	"Previous_symbol"	"ADAMTS7P1"	"   390660"	"ENSG00000274376"
"C9orf8"	"Previous_symbol"	"ADAMTS13"	"    11093"	"ENSG00000160323"
"ADAMTS21"	"Previous_symbol"	"ADAMTS18"	"   170692"	"ENSG00000140873"
"C9orf94"	"Previous_symbol"	"ADAMTSL1"	"    92949"	"ENSG00000178031"
"TSRC1"	"Previous_symbol"	"ADAMTSL4"	"    54507"	"ENSG00000143382"
"C1orf138"	"Previous_symbol"	"ADAMTSL4-AS1"	NA	"ENSG00000203804"
"THSD6"	"Previous_symbol"	"ADAMTSL5"	"   339366"	"ENSG00000185761"
"CENTA1"	"Previous_symbol"	"ADAP1"	"    11033"	"ENSG00000105963"
"CENTA2"	"Previous_symbol"	"ADAP2"	"    55803"	"ENSG00000184060"
"IFI4"	"Previous_symbol"	"ADAR"	"      103"	"ENSG00000160710"
"G1P1"	"Previous_symbol"	"ADAR"	"      103"	"ENSG00000160710"
"C10orf109"	"Previous_symbol"	"ADARB2-AS1"	"   642394"	"ENSG00000205696"
"NCRNA00168"	"Previous_symbol"	"ADARB2-AS1"	"   642394"	"ENSG00000205696"
"DEADC1"	"Previous_symbol"	"ADAT2"	"   134637"	"ENSG00000189007"
"DFNB44"	"Previous_symbol"	"ADCY1"	"      107"	"ENSG00000164742"
"ADCY3"	"Previous_symbol"	"ADCY8"	"      114"	"ENSG00000155897"
"ADDL"	"Previous_symbol"	"ADD3"	"      120"	"ENSG00000148700"
"C6orf103"	"Previous_symbol"	"ADGB"	"    79747"	"ENSG00000118492"
"GPR123"	"Previous_symbol"	"ADGRA1"	"    84435"	"ENSG00000197177"
"GPR123-AS1"	"Previous_symbol"	"ADGRA1-AS1"	NA	"ENSG00000256925"
"GPR124"	"Previous_symbol"	"ADGRA2"	"    25960"	"ENSG00000020181"
"GPR125"	"Previous_symbol"	"ADGRA3"	"   166647"	"ENSG00000152990"
"BAI1"	"Previous_symbol"	"ADGRB1"	"      575"	"ENSG00000181790"
"BAI2"	"Previous_symbol"	"ADGRB2"	"      576"	"ENSG00000121753"
"BAI3"	"Previous_symbol"	"ADGRB3"	"      577"	"ENSG00000135298"
"GPR133"	"Previous_symbol"	"ADGRD1"	"   283383"	"ENSG00000111452"
"GPR144"	"Previous_symbol"	"ADGRD2"	"   347088"	"ENSG00000180264"
"TM7LN3"	"Previous_symbol"	"ADGRE1"	"     2015"	"ENSG00000174837"
"EMR1"	"Previous_symbol"	"ADGRE1"	"     2015"	"ENSG00000174837"
"EMR2"	"Previous_symbol"	"ADGRE2"	"    30817"	"ENSG00000127507"
"EMR3"	"Previous_symbol"	"ADGRE3"	"    84658"	"ENSG00000131355"
"GPR127"	"Previous_symbol"	"ADGRE4P"	"   326342"	"ENSG00000268758"
"EMR4"	"Previous_symbol"	"ADGRE4P"	"   326342"	"ENSG00000268758"
"EMR4P"	"Previous_symbol"	"ADGRE4P"	"   326342"	"ENSG00000268758"
"CD97"	"Previous_symbol"	"ADGRE5"	"      976"	"ENSG00000123146"
"GPR110"	"Previous_symbol"	"ADGRF1"	"   266977"	"ENSG00000153292"
"GPR111"	"Previous_symbol"	"ADGRF2"	"   222611"	"ENSG00000164393"
"GPR113"	"Previous_symbol"	"ADGRF3"	"   165082"	"ENSG00000173567"
"GPR115"	"Previous_symbol"	"ADGRF4"	"   221393"	"ENSG00000153294"
"GPR116"	"Previous_symbol"	"ADGRF5"	"   221395"	"ENSG00000069122"
"GPR116P1"	"Previous_symbol"	"ADGRF5P1"	"   389740"	"ENSG00000227582"
"GPR116P2"	"Previous_symbol"	"ADGRF5P2"	"   441416"	"ENSG00000204818"
"GPR56"	"Previous_symbol"	"ADGRG1"	"     9289"	"ENSG00000205336"
"GPR64"	"Previous_symbol"	"ADGRG2"	"    10149"	"ENSG00000173698"
"GPR97"	"Previous_symbol"	"ADGRG3"	"   222487"	"ENSG00000182885"
"GPR112"	"Previous_symbol"	"ADGRG4"	"   139378"	"ENSG00000156920"
"GPR114"	"Previous_symbol"	"ADGRG5"	"   221188"	"ENSG00000159618"
"GPR126"	"Previous_symbol"	"ADGRG6"	"    57211"	"ENSG00000112414"
"GPR128"	"Previous_symbol"	"ADGRG7"	"    84873"	"ENSG00000144820"
"LPHN1"	"Previous_symbol"	"ADGRL1"	"    22859"	"ENSG00000072071"
"LPHH1"	"Previous_symbol"	"ADGRL2"	"    23266"	"ENSG00000117114"
"LPHN2"	"Previous_symbol"	"ADGRL2"	"    23266"	"ENSG00000117114"
"LPHN3"	"Previous_symbol"	"ADGRL3"	"    23284"	"ENSG00000150471"
"LPHN3-AS1"	"Previous_symbol"	"ADGRL3-AS1"	"101927186"	"ENSG00000248692"
"ELTD1"	"Previous_symbol"	"ADGRL4"	"    64123"	"ENSG00000162618"
"USH2C"	"Previous_symbol"	"ADGRV1"	"    84059"	"ENSG00000164199"
"MASS1"	"Previous_symbol"	"ADGRV1"	"    84059"	"ENSG00000164199"
"GPR98"	"Previous_symbol"	"ADGRV1"	"    84059"	"ENSG00000164199"
"ADH1"	"Previous_symbol"	"ADH1A"	"      124"	"ENSG00000187758"
"ADH2"	"Previous_symbol"	"ADH1B"	"      125"	"ENSG00000196616"
"ADH3"	"Previous_symbol"	"ADH1C"	"      126"	"ENSG00000248144"
"FDH"	"Previous_symbol"	"ADH5"	"      128"	"ENSG00000197894"
"ADH5B"	"Previous_symbol"	"ADH5P4"	"   642443"	"ENSG00000233859"
"ACDC"	"Previous_symbol"	"ADIPOQ"	"     9370"	"ENSG00000181092"
"C10orf116"	"Previous_symbol"	"ADIRF"	"    10974"	"ENSG00000148671"
"C19orf76"	"Previous_symbol"	"ADM5"	"   199800"	"ENSG00000224420"
"ZNF508"	"Previous_symbol"	"ADNP2"	"    22850"	"ENSG00000101544"
"C10orf22"	"Previous_symbol"	"ADO"	"    84890"	"ENSG00000181915"
"ADORA2"	"Previous_symbol"	"ADORA2A"	"      135"	"ENSG00000128271"
"C22orf45"	"Previous_symbol"	"ADORA2A-AS1"	"   646023"	"ENSG00000178803"
"ADORA2BP"	"Previous_symbol"	"ADORA2BP1"	"      137"	"ENSG00000236136"
"C17orf48"	"Previous_symbol"	"ADPRM"	"    56985"	"ENSG00000170222"
"ADPRHL2"	"Previous_symbol"	"ADPRS"	"    54936"	"ENSG00000116863"
"ADRA1C"	"Previous_symbol"	"ADRA1A"	"      148"	"ENSG00000120907"
"ADRA2"	"Previous_symbol"	"ADRA2A"	"      150"	"ENSG00000150594"
"ADRA2R"	"Previous_symbol"	"ADRA2A"	"      150"	"ENSG00000150594"
"ADRA2L1"	"Previous_symbol"	"ADRA2B"	"      151"	"ENSG00000274286"
"ADRA2RL1"	"Previous_symbol"	"ADRA2B"	"      151"	"ENSG00000274286"
"ADRA2L2"	"Previous_symbol"	"ADRA2C"	"      152"	"ENSG00000184160"
"ADRA2RL2"	"Previous_symbol"	"ADRA2C"	"      152"	"ENSG00000184160"
"ADRB1R"	"Previous_symbol"	"ADRB1"	"      153"	"ENSG00000043591"
"ADRB2R"	"Previous_symbol"	"ADRB2"	"      154"	"ENSG00000169252"
"ADSSL1"	"Previous_symbol"	"ADSS1"	"   122622"	"ENSG00000185100"
"ADSS"	"Previous_symbol"	"ADSS2"	"      159"	"ENSG00000035687"
"C6orf105"	"Previous_symbol"	"ADTRP"	"    84830"	"ENSG00000111863"
"ISG20L1"	"Previous_symbol"	"AEN"	"    64782"	"ENSG00000181026"
"AFAP1AS"	"Previous_symbol"	"AFAP1-AS1"	"    84740"	"ENSG00000272620"
"AFAP1-AS"	"Previous_symbol"	"AFAP1-AS1"	"    84740"	"ENSG00000272620"
"KIAA1914"	"Previous_symbol"	"AFAP1L2"	"    84632"	"ENSG00000169129"
"MLLT4"	"Previous_symbol"	"AFDN"	"     4301"	"ENSG00000130396"
"C6orf124"	"Previous_symbol"	"AFDN-DT"	"   653483"	"ENSG00000198221"
"MLLT4-AS1"	"Previous_symbol"	"AFDN-DT"	"   653483"	"ENSG00000198221"
"AFDN-AS1"	"Previous_symbol"	"AFDN-DT"	"   653483"	"ENSG00000198221"
"PBM1"	"Previous_symbol"	"AFF1"	"     4299"	"ENSG00000172493"
"MLLT2"	"Previous_symbol"	"AFF1"	"     4299"	"ENSG00000172493"
"FMR2"	"Previous_symbol"	"AFF2"	"     2334"	"ENSG00000155966"
"LAF4"	"Previous_symbol"	"AFF3"	"     3899"	"ENSG00000144218"
"LACE1"	"Previous_symbol"	"AFG1L"	"   246269"	"ENSG00000135537"
"AFG3"	"Previous_symbol"	"AFG3L1P"	"      172"	"ENSG00000223959"
"AFG3L1"	"Previous_symbol"	"AFG3L1P"	"      172"	"ENSG00000223959"
"SCA28"	"Previous_symbol"	"AFG3L2"	"    10939"	"ENSG00000141385"
"AFG3L2P"	"Previous_symbol"	"AFG3L2P1"	"   347028"	"ENSG00000253606"
"HPAFP"	"Previous_symbol"	"AFP"	"      174"	"ENSG00000081051"
"CENTG2"	"Previous_symbol"	"AGAP1"	"   116987"	"ENSG00000157985"
"CENTG1"	"Previous_symbol"	"AGAP2"	"   116986"	"ENSG00000135439"
"CENTG3"	"Previous_symbol"	"AGAP3"	"   116988"	"ENSG00000133612"
"CTGLF1"	"Previous_symbol"	"AGAP4"	"   119016"	"ENSG00000188234"
"AGAP8"	"Previous_symbol"	"AGAP4"	"   119016"	"ENSG00000188234"
"CTGLF5"	"Previous_symbol"	"AGAP4"	"   119016"	"ENSG00000188234"
"CTGLF2"	"Previous_symbol"	"AGAP5"	"   729092"	"ENSG00000172650"
"CTGLF3"	"Previous_symbol"	"AGAP6"	"   414189"	"ENSG00000204149"
"CTGLF4"	"Previous_symbol"	"AGAP7P"	"   653268"	"ENSG00000264204"
"AGAP7"	"Previous_symbol"	"AGAP7P"	"   653268"	"ENSG00000264204"
"CTGLF6"	"Previous_symbol"	"AGAP9"	"   642517"	"ENSG00000204172"
"AGAP10"	"Previous_symbol"	"AGAP10P"	"   653234"	"ENSG00000230869"
"CTGLF7"	"Previous_symbol"	"AGAP10P"	"   653234"	"ENSG00000230869"
"CTGLF10P"	"Previous_symbol"	"AGAP10P"	"   653234"	"ENSG00000230869"
"CTGLF12P"	"Previous_symbol"	"AGAP12P"	"   414224"	"ENSG00000265018"
"CTGLF9P"	"Previous_symbol"	"AGAP13P"	"   728005"	"ENSG00000243289"
"CTGLF11P"	"Previous_symbol"	"AGAP14P"	"   653259"	"ENSG00000279058"
"AGAP14"	"Previous_symbol"	"AGAP14P"	"   653259"	"ENSG00000279058"
"HRB"	"Previous_symbol"	"AGFG1"	"     3267"	"ENSG00000173744"
"HRBL"	"Previous_symbol"	"AGFG2"	"     3268"	"ENSG00000106351"
"MULK"	"Previous_symbol"	"AGK"	"    55750"	"ENSG00000006530"
"TMEM195"	"Previous_symbol"	"AGMO"	"   392636"	"ENSG00000187546"
"EIF2C1"	"Previous_symbol"	"AGO1"	"    26523"	"ENSG00000092847"
"EIF2C2"	"Previous_symbol"	"AGO2"	"    27161"	"ENSG00000123908"
"CASC7"	"Previous_symbol"	"AGO2"	"    27161"	"ENSG00000123908"
"EIF2C3"	"Previous_symbol"	"AGO3"	"   192669"	"ENSG00000126070"
"EIF2C4"	"Previous_symbol"	"AGO4"	"   192670"	"ENSG00000134698"
"BSCL"	"Previous_symbol"	"AGPAT2"	"    10555"	"ENSG00000169692"
"C6orf59"	"Previous_symbol"	"AGPAT4-IT1"	"    79992"	"ENSG00000279355"
