"Other_symbol"	"Type_of_symbol"	"Approved.symbol"	"NCBI.Gene.ID"	"Ensembl.gene.ID"
"NCRNA00304"	"Previous_symbol"	"LINC00304"	"   283860"	"ENSG00000180422"
"C18orf20"	"Previous_symbol"	"LINC00305"	"   221241"	"ENSG00000179676"
"NCRNA00305"	"Previous_symbol"	"LINC00305"	"   221241"	"ENSG00000179676"
"NCRNA00307"	"Previous_symbol"	"LINC00307"	"   266919"	"ENSG00000227342"
"C21orf74"	"Previous_symbol"	"LINC00308"	"    54143"	"ENSG00000184856"
"NCRNA00308"	"Previous_symbol"	"LINC00308"	"    54143"	"ENSG00000184856"
"NCRNA00309"	"Previous_symbol"	"LINC00309"	"   150992"	"ENSG00000230923"
"C21orf82"	"Previous_symbol"	"LINC00310"	"   114036"	"ENSG00000227456"
"NCRNA00310"	"Previous_symbol"	"LINC00310"	"   114036"	"ENSG00000227456"
"TMEM148"	"Previous_symbol"	"LINC00311"	"   197196"	"ENSG00000179219"
"NCRNA00311"	"Previous_symbol"	"LINC00311"	"   197196"	"ENSG00000179219"
"LOH3CR2A"	"Previous_symbol"	"LINC00312"	"    29931"	NA
"NCRNA00312"	"Previous_symbol"	"LINC00312"	"    29931"	NA
"C21orf84"	"Previous_symbol"	"LINC00313"	"   114038"	"ENSG00000185186"
"NCRNA00313"	"Previous_symbol"	"LINC00313"	"   114038"	"ENSG00000185186"
"C21orf94"	"Previous_symbol"	"LINC00314"	"   246705"	"ENSG00000178457"
"NCRNA00314"	"Previous_symbol"	"LINC00314"	"   246705"	"ENSG00000178457"
"C21orf93"	"Previous_symbol"	"LINC00315"	"   246704"	"ENSG00000184274"
"NCRNA00315"	"Previous_symbol"	"LINC00315"	"   246704"	"ENSG00000184274"
"C21orf111"	"Previous_symbol"	"LINC00316"	"   388830"	"ENSG00000237664"
"NCRNA00316"	"Previous_symbol"	"LINC00316"	"   388830"	"ENSG00000237664"
"C21orf117"	"Previous_symbol"	"LINC00317"	"   378828"	"ENSG00000238265"
"NCRNA00317"	"Previous_symbol"	"LINC00317"	"   378828"	"ENSG00000238265"
"C21orf125"	"Previous_symbol"	"LINC00319"	"   284836"	"ENSG00000188660"
"NCRNA00319"	"Previous_symbol"	"LINC00319"	"   284836"	"ENSG00000188660"
"C21orf131"	"Previous_symbol"	"LINC00320"	"   387486"	"ENSG00000224924"
"NCRNA00320"	"Previous_symbol"	"LINC00320"	"   387486"	"ENSG00000224924"
"C21orf136"	"Previous_symbol"	"LINC00322"	"100126693"	"ENSG00000237864"
"NCRNA00322"	"Previous_symbol"	"LINC00322"	"100126693"	"ENSG00000237864"
"C21orf130"	"Previous_symbol"	"LINC00323"	"   284835"	"ENSG00000226496"
"NCRNA00323"	"Previous_symbol"	"LINC00323"	"   284835"	"ENSG00000226496"
"C17orf44"	"Previous_symbol"	"LINC00324"	"   284029"	"ENSG00000178977"
"NCRNA00324"	"Previous_symbol"	"LINC00324"	"   284029"	"ENSG00000178977"
"NCRNA00326"	"Previous_symbol"	"LINC00326"	"   285735"	"ENSG00000231023"
"NCRNA00327"	"Previous_symbol"	"LINC00327"	"100506697"	"ENSG00000232977"
"NCRNA00328A"	"Previous_symbol"	"LINC00328"	"    51152"	NA
"NCRNA00328"	"Previous_symbol"	"LINC00328"	"    51152"	NA
"NCRNA00328B"	"Previous_symbol"	"LINC00328-2P"	"100874404"	"ENSG00000225016"
"NCRNA00328-2P"	"Previous_symbol"	"LINC00328-2P"	"100874404"	"ENSG00000225016"
"NCRNA00330"	"Previous_symbol"	"LINC00330"	"   144817"	"ENSG00000235097"
"NCRNA00331"	"Previous_symbol"	"LINC00331"	NA	"ENSG00000225427"
"NCRNA00332"	"Previous_symbol"	"LINC00332"	NA	"ENSG00000230710"
"NCRNA00333"	"Previous_symbol"	"LINC00333"	NA	"ENSG00000233349"
"C21orf89"	"Previous_symbol"	"LINC00334"	"   114042"	"ENSG00000182586"
"NCRNA00334"	"Previous_symbol"	"LINC00334"	"   114042"	"ENSG00000182586"
"C6orf227"	"Previous_symbol"	"LINC00336"	"   401253"	"ENSG00000197251"
"NCRNA00336"	"Previous_symbol"	"LINC00336"	"   401253"	"ENSG00000197251"
"C1orf211"	"Previous_symbol"	"LINC00337"	"   148645"	"ENSG00000225077"
"NCRNA00337"	"Previous_symbol"	"LINC00337"	"   148645"	"ENSG00000225077"
"NCRNA00339"	"Previous_symbol"	"LINC00339"	"    29092"	"ENSG00000218510"
"NCRNA00342"	"Previous_symbol"	"LINC00342"	"   150759"	"ENSG00000232931"
"NCRNA00343"	"Previous_symbol"	"LINC00343"	"   144920"	"ENSG00000226620"
"LINC00344"	"Previous_symbol"	"LINC00343"	"   144920"	"ENSG00000226620"
"NCRNA00344"	"Previous_symbol"	"LINC00343"	"   144920"	"ENSG00000226620"
"LINC00401"	"Previous_symbol"	"LINC00383"	"103689913"	"ENSG00000235221"
"LINC00453"	"Previous_symbol"	"LINC00452"	"   643365"	"ENSG00000229373"
"AMER2-AS1"	"Previous_symbol"	"LINC00463"	"101928922"	"ENSG00000234056"
"C1orf97"	"Previous_symbol"	"LINC00467"	"    84791"	"ENSG00000153363"
"C17orf54"	"Previous_symbol"	"LINC00469"	"   283982"	"ENSG00000177338"
"C18orf2"	"Previous_symbol"	"LINC00470"	"    56651"	"ENSG00000132204"
"C2orf52"	"Previous_symbol"	"LINC00471"	"   151477"	"ENSG00000181798"
"C6orf155"	"Previous_symbol"	"LINC00472"	"    79940"	"ENSG00000233237"
"C6orf176"	"Previous_symbol"	"LINC00473"	"    90632"	NA
"C9orf27"	"Previous_symbol"	"LINC00474"	"    58483"	"ENSG00000204148"
"C9orf44"	"Previous_symbol"	"LINC00475"	"   158314"	"ENSG00000225511"
"C9orf130"	"Previous_symbol"	"LINC00476"	"100128782"	"ENSG00000175611"
"C12orf67"	"Previous_symbol"	"LINC00477"	"   144360"	"ENSG00000197503"
"C21orf129"	"Previous_symbol"	"LINC00479"	"   150135"	"ENSG00000236384"
"C17orf55"	"Previous_symbol"	"LINC00482"	"   284185"	"ENSG00000185168"
"C9orf73"	"Previous_symbol"	"LINC00484"	"100129347"	"ENSG00000235641"
"C3orf66"	"Previous_symbol"	"LINC00488"	"   677779"	"ENSG00000214381"
"C21orf71"	"Previous_symbol"	"LINC00515"	"   282566"	NA
"C14orf26"	"Previous_symbol"	"LINC00517"	"   400208"	"ENSG00000259091"
"C6orf218"	"Previous_symbol"	"LINC00518"	"   221718"	"ENSG00000183674"
"C14orf30"	"Previous_symbol"	"LINC00519"	"   161342"	"ENSG00000258955"
"C14orf34"	"Previous_symbol"	"LINC00520"	"   645687"	"ENSG00000258791"
"C14orf70"	"Previous_symbol"	"LINC00523"	"   283601"	"ENSG00000196273"
"C14orf71"	"Previous_symbol"	"LINC00524"	"   338002"	"ENSG00000259023"
"C18orf18"	"Previous_symbol"	"LINC00526"	"   147525"	"ENSG00000264575"
"C21orf104"	"Previous_symbol"	"LINC00527"	"    54748"	NA
"C22orf37"	"Previous_symbol"	"LINC00528"	"   200298"	"ENSG00000269220"
"C8orf8"	"Previous_symbol"	"LINC00529"	"    83647"	"ENSG00000236827"
"C6orf38"	"Previous_symbol"	"LINC00533"	"   387055"	"ENSG00000235570"
"LINC00422"	"Previous_symbol"	"LINC00539"	"100652865"	"ENSG00000224429"
"C6orf208"	"Previous_symbol"	"LINC00574"	"    80069"	"ENSG00000231690"
"C4orf11"	"Previous_symbol"	"LINC00575"	"   439934"	"ENSG00000231782"
"C9orf146"	"Previous_symbol"	"LINC00583"	"100113404"	"ENSG00000205636"
"C9orf107"	"Previous_symbol"	"LINC00587"	"   414319"	"ENSG00000204250"
"C8orf71"	"Previous_symbol"	"LINC00588"	"    26138"	"ENSG00000215117"
"C8orf75"	"Previous_symbol"	"LINC00589"	"   619351"	"ENSG00000251191"
"C15orf50"	"Previous_symbol"	"LINC00593"	"   414926"	NA
"C10orf101"	"Previous_symbol"	"LINC00595"	"   414243"	NA
"C14orf165"	"Previous_symbol"	"LINC00596"	"102724845"	"ENSG00000259334"
"C15orf5"	"Previous_symbol"	"LINC00597"	"    81698"	NA
"C12orf33"	"Previous_symbol"	"LINC00612"	"   253128"	"ENSG00000214851"
"C12orf37"	"Previous_symbol"	"LINC00615"	"   439916"	"ENSG00000196243"
"C14orf63"	"Previous_symbol"	"LINC00618"	"   145249"	"ENSG00000225163"
"C10orf136"	"Previous_symbol"	"LINC00619"	"   414260"	NA
"C14orf74"	"Previous_symbol"	"LINC00677"	"105370683"	"ENSG00000259717"
"CXYorf10"	"Previous_symbol"	"LINC00685"	"   283981"	"ENSG00000226179"
"NCRNA00107"	"Previous_symbol"	"LINC00685"	"   283981"	"ENSG00000226179"
"PPP2R3B-AS1"	"Previous_symbol"	"LINC00685"	"   283981"	"ENSG00000226179"
"C20orf90"	"Previous_symbol"	"LINC00686"	"   140865"	"ENSG00000237687"
"C20orf61"	"Previous_symbol"	"LINC00687"	"   728450"	"ENSG00000228422"
"C3orf74"	"Previous_symbol"	"LINC00696"	"100128378"	NA
"LINC01263"	"Previous_symbol"	"LINC00824"	"101927774"	"ENSG00000254275"
"DZANK1-AS1"	"Previous_symbol"	"LINC00851"	"   440757"	"ENSG00000237282"
"C3orf42"	"Previous_symbol"	"LINC00852"	"    84657"	"ENSG00000231177"
"GHRLOS2"	"Previous_symbol"	"LINC00852"	"    84657"	"ENSG00000231177"
"PDZK1IP1-AS1"	"Previous_symbol"	"LINC00853"	"100874253"	"ENSG00000224805"
"C1orf98"	"Previous_symbol"	"LINC00862"	"   554279"	"ENSG00000203721"
"SMIM16"	"Previous_symbol"	"LINC00862"	"   554279"	"ENSG00000203721"
"C17orf52"	"Previous_symbol"	"LINC00868"	"   283994"	"ENSG00000267535"
"LSAMP-AS4"	"Previous_symbol"	"LINC00901"	"100506724"	"ENSG00000242385"
"LSAMP-AS2"	"Previous_symbol"	"LINC00903"	NA	"ENSG00000241397"
"C7orf13"	"Previous_symbol"	"LINC01006"	"100506380"	"ENSG00000182648"
"KCNMB2-IT1"	"Previous_symbol"	"LINC01014"	"100874330"	"ENSG00000223941"
"LINC00875"	"Previous_symbol"	"LINC01138"	"   388685"	"ENSG00000274020"
"CT64"	"Previous_symbol"	"LINC01192"	"   647107"	"ENSG00000241369"
"CT60"	"Previous_symbol"	"LINC01193"	"   348120"	"ENSG00000258710"
"CT49"	"Previous_symbol"	"LINC01194"	"   404663"	"ENSG00000248131"
"EMCN-IT3"	"Previous_symbol"	"LINC01216"	"100874275"	"ENSG00000250223"
"EMCN-IT2"	"Previous_symbol"	"LINC01217"	NA	"ENSG00000251219"
