"GeneID.x"	"GeneID.y"
"5893"	"5893"
"29916"	"51364"
"5893"	"4222"
"151531"	"151531"
"8522"	"8522"
"10344"	"5080"
"79090"	"5080"
"6915"	"27035"
"57414"	"9235"
"83741"	"26993"
"80256"	"26993"
"80342"	"23177"
"5689"	"27033"
"83741"	"27033"
"27033"	"27033"
"221981"	"60481"
"8379"	"240"
"9961"	"9961"
"5689"	"112611"
"9782"	"9782"
"80342"	"81551"
"80342"	"54764"
"51265"	"54764"
"80256"	"54764"
"5080"	"23154"
"26993"	"23034"
"211"	"211"
"80342"	"51177"
"51071"	"3298"
"56891"	"7431"
"6915"	"7444"
"3052"	"6642"
"60481"	"55334"
"51265"	"9135"
"6924"	"9135"
"5080"	"3149"
"4222"	"3149"
"5080"	"8498"
"211"	"9168"
"57147"	"11345"
"5689"	"84908"
"54902"	"84908"
"80256"	"55773"
"9135"	"9099"
"54764"	"9099"
"84245"	"84245"
"23542"	"3224"
"54764"	"3224"
"5080"	"3224"
"4222"	"3224"
"9135"	"27430"
"1534"	"54831"
"55334"	"54896"
"8379"	"55885"
"54764"	"55885"
"51177"	"9341"
"55885"	"5954"
"54764"	"7984"
"57414"	"25875"
"4222"	"5601"
"2534"	"9564"
"9099"	"9564"
"7414"	"9564"
"9454"	"9454"
"5081"	"9454"
"5080"	"9454"
"4222"	"9454"
"9099"	"9454"
"23028"	"9454"
"57554"	"9454"
"55166"	"80143"
"79090"	"27095"
"3927"	"23201"
"55040"	"23201"
"83741"	"23201"
"54165"	"23201"
"54476"	"23201"
"11171"	"26099"
"55734"	"23118"
"5689"	"7185"
"9099"	"7185"
"9782"	"7185"
"83741"	"7185"
"8837"	"7185"
"140876"	"7185"
"3224"	"7185"
"57709"	"131566"
"9135"	"5318"
"8379"	"9474"
"11284"	"816"
"80342"	"84699"
"55334"	"84699"
"83714"	"51564"
"55166"	"51564"
"23028"	"11178"
"6924"	"11178"
"5601"	"11178"
"55885"	"11178"
"80256"	"93166"
"93166"	"93166"
"23034"	"93166"
"6924"	"93166"
"3224"	"93166"
"64102"	"6676"
"5689"	"65056"
"55334"	"81671"
"23324"	"10513"
"3927"	"5424"
"5601"	"2928"
"2978"	"2928"
"10838"	"6047"
"816"	"6047"
"3927"	"58524"
"54902"	"58524"
"26993"	"58524"
"2896"	"58524"
"816"	"23534"
"6570"	"5476"
"79090"	"2139"
"80256"	"2139"
"6047"	"53339"
"53339"	"53339"
"8452"	"53339"
"3927"	"5449"
"10513"	"6882"
"93166"	"23294"
"3927"	"23294"
"27033"	"23294"
"9564"	"23294"
"3224"	"23294"
"51056"	"7629"
"83714"	"7629"
"6591"	"7629"
"440193"	"2773"
"53340"	"54763"
"5318"	"54763"
"93166"	"54763"
"54763"	"54763"
"10460"	"55633"
"7629"	"55633"
"9454"	"55633"
"10513"	"4638"
"57120"	"4638"
"11284"	"1308"
"3224"	"119391"
"119391"	"119391"
"4199"	"4199"
"3224"	"23216"
"11178"	"23216"
"11284"	"23216"
"54764"	"7075"
"84908"	"6602"
"4800"	"4802"
"23201"	"4802"
"5893"	"4802"
"5080"	"4802"
"80256"	"84217"
"83741"	"84217"
"58524"	"84217"
"6602"	"84217"
"1890"	"84217"
"80342"	"6672"
"6672"	"6672"
"6924"	"7813"
"23294"	"7158"
"140876"	"387"
"58524"	"7544"
"864"	"865"
"4207"	"9759"
"84217"	"9759"
"9265"	"3430"
"9759"	"4205"
"56891"	"4943"
"11345"	"4943"
"54764"	"27238"
"54763"	"27238"
"11178"	"27238"
"8379"	"27238"
"84217"	"27238"
"6924"	"56850"
"5318"	"56850"
"9099"	"56850"
"9759"	"56850"
"26228"	"56850"
"56850"	"56850"
"5689"	"56850"
"9474"	"56850"
"55885"	"3796"
"7185"	"5307"
"23201"	"5307"
"27033"	"5307"
"26993"	"5307"
"7158"	"5307"
"83741"	"5307"
"3927"	"5307"
"4802"	"221395"
